카테고리명,지역,기관명,구분,주소,전화
CTGRY_NM,LOCAL,GOV_NM,DIV,ADDR,CALL_NUM
기술상담/농기계임대,강원도 강릉시,강릉시농업기술센터 농업기계임대,,[210-852] 강원도 강릉시 사천면 동해대로 3738-17,033-660-3160
기술상담/농기계임대,강원도 강릉시,강릉시농업기술센터 기술보급과 ,,[210-852] 강원 강릉시 사천면 동해대로 3738-17 산 61-6,033-660-3156~9
농지/주택,강원도 강릉시,강릉시청 ,강릉시청 건축과,,033-640-5260
금융,강원도 강릉시,강릉과학산업진흥원(출),,[] 강원 강릉시 과학단지로 106-11,033-655-3810
금융,강원도 강릉시,강릉교동지점,,[] 강원 강릉시 강릉대로 258,033-641-3811
금융,강원도 강릉시,강릉동부지점,,[] 강원 강릉시 하평길 56,033-653-2251
금융,강원도 강릉시,강릉시지부,,[] 강원 강릉시 임영로 123,033-641-3801
금융,강원도 강릉시,강릉시청<출>,,[] 강원 강릉시 강릉대로 33,033-643-2947
금융,강원도 강릉시,강릉원주대학교<출>,,[] 강원 강릉시 죽헌길 7,033-641-3809
금융,강원도 강릉시,성남동지점,,[] 강원 강릉시 중앙시장2길 4,033-645-6671
금융,강원도 강릉시,주문진지점,,[] 강원 강릉시 주문진읍 주문로 84,033-662-3730
기술상담/농기계임대,강원도 강원도원,강원도농업기술원,,[200-15] 강원도 춘천시 충열로 83(우두동),033-254-7901
농지/주택,강원도 강원도원,강원도청,강원도청 농어업정책과,,033-249-3413
기술상담/농기계임대,강원도 고성군,고성군농업기술센터,,[219-803] 강원도 고성군 간성읍 간성북로 87,033-681-5959
농지/주택,강원도 고성군,고성군청 홈페이지,고성군청 고객봉사과,,033-680-3471
금융,강원도 고성군,고성군지부,,[] 강원 고성군 간성읍 간성로 70 ,033-681-2080
금융,강원도 고성군,고성군청<출>,,[] 강원 고성군 간성읍 고성중앙길 9,033-681-6062
기술상담/농기계임대,강원도 동해시,동해시농업기술센터,,[240-030] 강원 동해시 부곡동 227-2,033-531-8292
농지/주택,강원도 동해시,동해시청 홈페이지,동해시청 건축관리과,,033-530-5451
금융,강원도 동해시,동해시지부,,[] 강원 동해시 천곡로 98,033-535-2865
금융,강원도 동해시,낙산대<출>,,[] 강원동해시평릉동207,033-531-6939
